#,,,,,,,,,
#   VizieR Astronomical Server vizier.cfa.harvard.edu,,,,,,,,,
#    Date: 2017-12-22T15:14:11 [V1.99+ (14-Oct-2013)],,,,,,,,,
"#   In case of problem, please report to:",cds-question@unistra.fr,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
#Coosys,J2000:,eq_FK5 J2000,,,,,,,
#INFO,votable-version=1.99+ (14-Oct-2013),,,,,,,,
#INFO,-ref=VIZ5a3d209117509,,,,,,,,
#INFO,-out.max=200,,,,,,,,
#INFO,queryParameters=17,,,,,,,,
#-oc.form=dec,,,,,,,,,
#-out.max=200,,,,,,,,,
#-out.all=2,,,,,,,,,
#-nav=cat:J/AJ/134/2398&tab:{J/AJ/134/2398/table3}&key:source=J/AJ/134/2398/table3&HTTPPRM:&,,,,,,,,,
#-source=J/AJ/134/2398/table3,,,,,,,,,
#-order=I,,,,,,,,,
#-out=SpType,,,,,,,,,
#-out=LClass,,,,,,,,,
#-out=u-g,,,,,,,,,
#-out=g-r,,,,,,,,,
#-out=r-i,,,,,,,,,
#-out=i-z,,,,,,,,,
#-out=z-J,,,,,,,,,
#-out=J-H,,,,,,,,,
#-out=H-Ks,,,,,,,,,
#-out=JMAG,,,,,,,,,
#-out.all=2,,,,,,,,,
#,,,,,,,,,
,,,,,,,,,
#RESOURCE=yCat_51342398,,,,,,,,,
#Name: J/AJ/134/2398,,,,,,,,,
"#Title: Stellar SEDs in SDSS and 2MASS filters (Covey+, 2007)",,,,,,,,,
#Table,J_AJ_134_2398_table3:,,,,,,,,
#Name: J/AJ/134/2398/table3,,,,,,,,,
"#Title: Synthetic SDSS/2MASS photometry of Pickles (1998, Cat. J/PASP/110/863) solar metallicity standards",,,,,,,,,
#Column,SpType,(A4),MK spectral type,[ucd=src.spType],,,,,
B7,V  ,0.51,-0.39,-0.23,-0.23,0.27,-0.01,-0.02,-1.37
B8  ,V  ,0.75,-0.33,-0.23,-0.17,0.28,0.02,0.02,-1.21
B9  ,V  ,0.86,-0.28,-0.23,-0.18,0.36,0.03,-0.01,-0.53
A0  ,V  ,1.09,-0.25,-0.18,-0.17,0.46,0.02,-0.03,0.43
A2  ,V  ,1.16,-0.23,-0.17,-0.15,0.38,-0.1,-0.01,1.17
A3  ,V  ,1.15,-0.16,-0.15,-0.15,0.39,-0.14,-0.02,1.25
A5  ,V  ,1.2,-0.1,-0.11,-0.1,0.55,0.09,0.01,1.38
A7  ,V  ,1.21,-0.02,-0.08,-0.08,0.53,0.13,0.03,1.73
F0  ,V  ,1.16,0.1,-0.01,-0.09,0.59,0.16,0.02,2.43
F2  ,V  ,1.12,0.19,0.03,-0.02,0.52,0.04,0,2.63
F5  ,V  ,1.09,0.26,0.03,-0.02,0.71,0.22,0,2.62
F6  ,V  ,1.14,0.28,0.08,-0.01,0.72,0.23,0.01,2.9
F8  ,V  ,1.22,0.36,0.1,0.03,0.74,0.23,0,2.98
G0  ,V  ,1.3,0.38,0.14,0.02,0.71,0.28,0,3.18
G2  ,V  ,1.37,0.45,0.16,0.04,0.84,0.35,0,3.45
G5  ,V  ,1.49,0.49,0.16,0.06,0.78,0.29,0.03,3.54
G8  ,V  ,1.6,0.57,0.19,0.06,0.87,0.37,0.04,3.85
K0  ,V  ,1.68,0.62,0.22,0.07,0.84,0.47,0.07,4.17
K2  ,V  ,1.95,0.78,0.24,0.11,0.99,0.51,0.07,4.5
K3  ,V  ,2.1,0.85,0.32,0.13,0.99,0.58,0.01,4.94
K4  ,V  ,2.21,1,0.38,0.16,1.01,0.59,0.1,5.21
K5  ,V  ,2.54,1.18,0.4,0.2,1.06,0.62,0.1,5.45
K7  ,V  ,2.56,1.34,0.54,0.3,1.01,0.6,0.11,5.77
M0  ,V  ,2.65,1.31,0.64,0.38,1.29,0.68,0.15,5.72
M1  ,V  ,2.72,1.33,0.78,0.46,1.2,0.67,0.25,6.04
M2  ,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23
M2.5,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51
M3  ,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77
M4  ,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06
M5  ,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39
M6  ,V  ,2.99,1.72,2.12,1.24,2.31,0.66,0.32,7.72
O8  ,III,-0.35,-0.58,-0.38,-0.36,0.12,0.04,-0.07,-4.67
B1,III,-0.14,-0.53,-0.32,-0.28,0.27,-0.08,-0.13,-3.65
B2,III,-0.14,-0.53,-0.32,-0.28,0.27,-0.08,-0.13,-3.65
B3  ,III,0.18,-0.48,-0.25,-0.25,0.17,0.04,0,-2.71
B5  ,III,0.42,-0.42,-0.23,-0.24,0.29,-0.06,-0.01,-2.16
B9  ,III,0.93,-0.33,-0.23,-0.17,0.39,-0.05,0.01,-0.76
A0  ,III,1.07,-0.22,-0.2,-0.16,0.42,0.04,0,-0.08
A3  ,III,1.24,-0.12,-0.17,-0.15,0.45,-0.11,-0.05,0.1
A5  ,III,1.23,-0.08,-0.1,-0.1,0.53,0.13,-0.01,0.17
A5  ,III,1.25,-0.045,-0.095,-0.09,0.545,0.065,-0.015,0.34
A7  ,III,1.27,-0.01,-0.09,-0.08,0.56,0,-0.02,0.51
F0  ,III,1.27,0.05,-0.05,-0.02,0.54,0.23,0,0.56
F2  ,III,1.18,0.23,0.01,-0.03,0.62,0.13,-0.01,0.85
F5  ,III,1.21,0.24,0.05,-0.02,0.67,0.33,0,0.83
G0  ,III,1.49,0.48,0.15,0.05,0.92,0.46,0,0.78
G5  ,III,1.86,0.68,0.22,0.08,0.99,0.48,0.03,1.82
G8  ,III,2.02,0.75,0.24,0.11,0.95,0.51,0.04,1.72
K0  ,III,2.2,0.75,0.27,0.12,1.01,0.53,0.05,1.67
K0  ,III,2.27,0.8,0.28,0.135,1.03,0.535,0.055,0.99
K1  ,III,2.34,0.85,0.29,0.15,1.05,0.54,0.06,0.31
K2  ,III,2.48,0.93,0.34,0.18,1.1,0.67,0.04,-0.63
K3  ,III,2.71,1.02,0.35,0.18,1.31,0.74,0.16,-1.13
K4  ,III,3.1,1.23,0.43,0.27,1.28,0.81,0.16,-2.17
K5  ,III,3.23,1.27,0.56,0.34,1.29,0.75,0.17,-3.01
M0  ,III,3.17,1.28,0.65,0.38,1.29,0.9,0.13,-3.49
M1  ,III,3.16,1.29,0.73,0.43,1.32,0.92,0.12,-3.71
M2  ,III,3.19,1.32,0.82,0.47,1.35,0.94,0.18,-3.92
M2  ,III,3.16,1.295,0.915,0.525,1.365,0.945,0.175,-4.035
M3  ,III,3.13,1.27,1.01,0.58,1.38,0.95,0.17,-4.15
M4  ,III,3.01,1.22,1.29,0.73,1.49,0.95,0.2,-4.51
M5  ,III,2.68,1.13,1.64,0.93,1.68,0.99,0.22,-4.75
M6  ,III,2.43,1.11,1.99,1.18,1.94,1.05,0.22,-5.28
M7  ,III,1.82,1.15,2.36,1.58,2.29,1.08,0.22,-5.64
M8  ,III,1.33,1.33,2.45,2.03,2.93,1.07,0.26,-6.13
M9  ,III,1.24,1.16,2.37,2.01,3.17,0.97,0.3,-6.6
M10 ,III,1.12,0.89,2.58,2.22,3.22,0.83,0.4,-7.04
B0  ,I  ,-0.23,-0.5,-0.28,-0.31,0.22,-0.02,-0.13,-6.59
B0  ,I  ,-0.185,-0.46,-0.27,-0.325,0.245,-0.055,-0.11,-6.41
B1  ,I  ,-0.14,-0.42,-0.26,-0.34,0.27,-0.09,-0.09,-6.23
B1 ,I  ,-0.03,-0.39,-0.265,-0.31,0.32,-0.045,-0.04,-6.255
B3  ,I  ,0.08,-0.36,-0.27,-0.28,0.37,0,0.01,-6.28
B3  ,I  ,0.125,-0.33,-0.225,-0.235,0.345,0.02,0,-6.235
B5  ,I  ,0.17,-0.3,-0.18,-0.19,0.32,0.04,-0.01,-6.19
B5  ,I  ,0.27,-0.285,-0.175,-0.16,0.345,0.005,0.01,-6.415
B8  ,I  ,0.37,-0.27,-0.17,-0.13,0.37,-0.03,0.03,-6.64
B8 ,I  ,0.59,-0.25,-0.165,-0.115,0.405,0.045,0.005,-6.63
A0  ,I  ,0.81,-0.23,-0.16,-0.1,0.44,0.12,-0.02,-6.62
A0  ,I  ,0.82,-0.17,-0.15,-0.115,0.475,0.135,-0.02,-6.745
A2  ,I  ,0.83,-0.11,-0.14,-0.13,0.51,0.15,-0.02,-6.87
A2 ,I  ,1.15,-0.065,-0.085,-0.08,0.505,0.15,-0.015,-7.02
F0  ,I  ,1.47,-0.02,-0.03,-0.03,0.5,0.15,-0.01,-7.17
F0  ,I  ,1.45,0.02,-0.015,-0.03,0.575,0.14,-0.015,-7.27
F5  ,I  ,1.43,0.06,0,-0.03,0.65,0.13,-0.02,-7.37
F5 ,I  ,1.575,0.215,0.015,-0.03,0.69,0.215,0.02,-7.465
F8  ,I  ,1.72,0.37,0.03,-0.03,0.73,0.3,0.06,-7.56
F8  ,I  ,1.725,0.475,0.065,-0.025,0.735,0.325,0.07,-7.615
G0  ,I  ,1.73,0.58,0.1,-0.02,0.74,0.35,0.08,-7.67
G0  ,I  ,1.845,0.63,0.12,-0.015,0.765,0.345,0.035,-7.675
G2  ,I  ,1.96,0.68,0.14,-0.01,0.79,0.34,-0.01,-7.68
G2  ,I  ,2.09,0.75,0.155,0.01,0.815,0.38,0.04,-7.71
G5  ,I  ,2.22,0.82,0.17,0.03,0.84,0.42,0.09,-7.74
G5  ,I  ,2.435,0.91,0.22,0.035,0.81,0.375,0.06,-7.78
G8  ,I  ,2.65,1,0.27,0.04,0.78,0.33,0.03,-7.82
G8  ,I  ,2.93,1.135,0.335,0.105,0.8,0.35,0.055,-7.94
K2  ,I  ,3.21,1.27,0.4,0.17,0.82,0.37,0.08,-8.06
K2  ,I  ,3.255,1.325,0.435,0.17,0.925,0.475,0.08,-8.115
K3  ,I  ,3.3,1.38,0.47,0.17,1.03,0.58,0.08,-8.17
K3  ,I  ,3.3,1.425,0.535,0.275,1.13,0.66,0.145,-8.285
K4  ,I  ,3.3,1.47,0.6,0.38,1.23,0.74,0.21,-8.4
K4  ,I  ,3.405,1.52,0.825,0.465,1.165,0.715,0.275,-9.22
M2  ,I  ,3.51,1.57,1.05,0.55,1.1,0.69,0.34,-10.04
